Title,Image URL,URL,Label,Description
Kalori Nasi Goreng dan Tips Mengonsumsinya agar Lebih Sehat,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753414457/attached_image/kalori-nasi-goreng-dan-tips-mengonsumsinya-agar-lebih-sehat.jpg",https://www.alodokter.com/kalori-nasi-goreng-dan-tips-mengonsumsinya-agar-lebih-sehat,hidup-sehat,Kalori nasi goreng sering kali menjadi perhatian bagi yang sedang menjalani pola hidup sehat atau...
Cara Membuat Masker Wajah dari Bahan-Bahan Alami di Rumah,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753414009/attached_image/cara-membuat-masker-wajah-dari-bahan-bahan-alami-di-rumah.jpg",https://www.alodokter.com/cara-membuat-masker-wajah-dari-bahan-bahan-alami-di-rumah,hidup-sehat,"Cara membuat masker wajah di rumah kini semakin diminati karena tidak hanya ekonomis dan praktis,..."
7 Cara Cepat Menghilangkan Kantung Mata dalam 3 Hari yang Paling Ampuh,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753413872/attached_image/cara-cepat-menghilangkan-kantung-mata-dalam-3-hari-yang-paling-ampuh.jpg",https://www.alodokter.com/cara-cepat-menghilangkan-kantung-mata-dalam-3-hari-yang-paling-ampuh,hidup-sehat,"Cara cepat menghilangkan kantung mata dalam 3 hari dapat dilakukan dengan beberapa langkah sederhana, seperti..."
4 Manfaat Susu Kuda Liar yang Luar Biasa,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1690783060/attached_image/4-manfaat-susu-kuda-liar-yang-luar-biasa.jpg",https://www.alodokter.com/4-manfaat-susu-kuda-liar-yang-luar-biasa,hidup-sehat,Susu kuda liar mungkin masih terdengar asing dibandingkan susu sapi atau kambing. Susu yang banyak...
"Lompat Jangkit, Ketahui Teknik, Manfaat, dan Tip Melakukannya","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753412276/attached_image/lompat-jangkit-ketahui-teknik-manfaat-dan-tip-melakukannya.jpg",https://www.alodokter.com/lompat-jangkit-ketahui-teknik-manfaat-dan-tip-melakukannya,hidup-sehat,"Lompat jangkit adalah salah satu cabang olahraga atletik yang mengutamakan kekuatan, kecepatan, dan koordinasi tubuh...."
Cara Pakai Menstrual Cup dan Langkah Melepasnya yang Benar,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1691421520/attached_image/cara-pakai-menstrual-cup-dan-langkah-melepasnya-yang-benar.jpg",https://www.alodokter.com/cara-pakai-menstrual-cup-dan-langkah-melepasnya-yang-benar,hidup-sehat,"Menstrual cup perlu dipakai dengan benar. Oleh karena itu, penting untuk mengetahui cara pakai menstrual..."
"Lompat Jangkit, Ketahui Teknik, Manfaat, dan Tip Melakukannya","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753412276/attached_image/lompat-jangkit-ketahui-teknik-manfaat-dan-tip-melakukannya.jpg",https://www.alodokter.com/lompat-jangkit-ketahui-teknik-manfaat-dan-tip-melakukannya,hidup-sehat,"Lompat jangkit adalah salah satu cabang olahraga atletik yang mengutamakan kekuatan, kecepatan, dan koordinasi tubuh...."
Cara Pakai Menstrual Cup dan Langkah Melepasnya yang Benar,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1691421520/attached_image/cara-pakai-menstrual-cup-dan-langkah-melepasnya-yang-benar.jpg",https://www.alodokter.com/cara-pakai-menstrual-cup-dan-langkah-melepasnya-yang-benar,hidup-sehat,"Menstrual cup perlu dipakai dengan benar. Oleh karena itu, penting untuk mengetahui cara pakai menstrual..."
5 Manfaat Stress Ball untuk Kesehatan Mental dan Fisik,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1691458052/attached_image/5-manfaat-stress-ball-untuk-kesehatan-mental-dan-fisik.jpg",https://www.alodokter.com/5-manfaat-stress-ball-untuk-kesehatan-mental-dan-fisik,hidup-sehat,"Stress ball kerap digunakan sebagai alat untuk mengurangi stres dan kecemasan. Namun, manfaat stress ball..."
Ini Cara Menebalkan Rambut dengan Cepat dalam 1 Minggu,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753350196/attached_image/ini-cara-menebalkan-rambut-dengan-cepat-dalam-1-minggu.jpg",https://www.alodokter.com/ini-cara-menebalkan-rambut-dengan-cepat-dalam-1-minggu,hidup-sehat,Cara menebalkan rambut dengan cepat dalam 1 minggu sering dicari oleh mereka yang mengalami masalah...
6 Vitamin untuk Otak yang Baik Dikonsumsi,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1600055456/attached_image/vitamin-untuk-otak-yang-wajib-anda-konsumsi.jpg",https://www.alodokter.com/vitamin-untuk-otak-yang-wajib-anda-konsumsi,hidup-sehat,Vitamin untuk otak diperlukan agar otak dapat berkembang dengan sempurna serta berfungsi dengan baik. Berbagai...
Cara Menghilangkan Stretch Mark yang Efektif,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1676884802/attached_image/cara-menghilangkan-stretch-mark-yang-efektif.jpg",https://www.alodokter.com/cara-menghilangkan-stretch-mark-yang-efektif,hidup-sehat,"Cara menghilangkan stretch mark bisa dilakukan dengan menjalani prosedur medis tertentu. Namun, ada pula pilihan..."
"Digigit Ular, Jangan Panik dan Lakukan Hal Ini","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1664723176/attached_image/jangan-panik-lakukan-hal-ini-jika-digigit-ular.jpg",https://www.alodokter.com/jangan-panik-lakukan-hal-ini-jika-digigit-ular,hidup-sehat,Digigit ular bisa saja terjadi saat sedang bertualang di alam bebas atau saat bertemu dengan...
"Kaolin, Mineral yang Bermanfaat untuk Kesehatan Tubuh","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1688970344/attached_image/kaolin-mineral-yang-bermanfaat-untuk-kesehatan-tubuh.jpg",https://www.alodokter.com/kaolin-mineral-yang-bermanfaat-untuk-kesehatan-tubuh,hidup-sehat,"Kaolin mungkin lebih identik dengan obat diare. Padahal, mineral ini juga sering digunakan dalam produk..."
"7 Manfaat Daun Jarak, Baik untuk Pencernaan dan Kulit","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1691030421/attached_image/7-manfaat-daun-jarak-baik-untuk-pencernaan-dan-kulit.jpg",https://www.alodokter.com/7-manfaat-daun-jarak-baik-untuk-pencernaan-dan-kulit,hidup-sehat,Manfaat daun jarak telah dikenal sejak lama dalam pengobatan tradisional. Tanaman ini dipercaya mampu meredakan...
Apakah Gorengan Bikin Gemuk? Ini Penjelasannya,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1750237561/attached_image/apakah-gorengan-bikin-gemuk-ini-penjelasannya.jpg",https://www.alodokter.com/apakah-gorengan-bikin-gemuk-ini-penjelasannya,hidup-sehat,"Apakah gorengan bikin gemuk merupakan salah satu pertanyaan yang sering muncul, terutama di kalangan pecinta..."
Apakah Gorengan Bikin Gemuk? Ini Penjelasannya,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1750237561/attached_image/apakah-gorengan-bikin-gemuk-ini-penjelasannya.jpg",https://www.alodokter.com/apakah-gorengan-bikin-gemuk-ini-penjelasannya,hidup-sehat,"Apakah gorengan bikin gemuk merupakan salah satu pertanyaan yang sering muncul, terutama di kalangan pecinta..."
Kalori Pisang Goreng dan Tips Sehat Mengonsumsinya,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753331259/attached_image/kalori-pisang-goreng-dan-tips-sehat-mengonsumsinya.jpg",https://www.alodokter.com/kalori-pisang-goreng-dan-tips-sehat-mengonsumsinya,hidup-sehat,"Kalori pisang goreng patut menjadi perhatian, terutama bagi Anda yang sedang menjaga pola makan. Pasalnya,..."
3 Manfaat Tisu Magic dan Risiko Penggunaannya,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753330531/attached_image/3-manfaat-tisu-magic-dan-risiko-penggunaannya.jpg",https://www.alodokter.com/3-manfaat-tisu-magic-dan-risiko-penggunaannya,hidup-sehat,Manfaat tisu magic sering menjadi perbincangan di kalangan pria yang ingin menunjang performa saat berhubungan...
"Asuransi Kesehatan Anak Muda, Investasi Penting untuk Masa Depan","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753328142/attached_image/berasuransi-sejak-muda-lebih-menguntungkan.jpg",https://www.alodokter.com/berasuransi-sejak-muda-lebih-menguntungkan,hidup-sehat,Asuransi kesehatan anak muda merupakan bentuk perlindungan finansial yang penting dimiliki sejak dini. Dengan memiliki...
4 Manfaat Cuka Nanas dan Cara Membuatnya Sendiri di Rumah,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1731381081/attached_image/4-manfaat-cuka-nanas-dan-cara-membuatnya-sendiri-di-rumah.jpg",https://www.alodokter.com/4-manfaat-cuka-nanas-dan-cara-membuatnya-sendiri-di-rumah,hidup-sehat,"Manfaat cuka nanas dapat membantu menurunkan berat badan, bahkan diketahui efektif mencegah terjadinya obesitas. Selain..."
5 Manfaat Cuka Nanas untuk Wanita yang Nggak Boleh Dilewatkan,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753326699/attached_image/5-manfaat-cuka-nanas-untuk-wanita-yang-nggak-boleh-dilewatkan.jpg",https://www.alodokter.com/5-manfaat-cuka-nanas-untuk-wanita-yang-nggak-boleh-dilewatkan,hidup-sehat,Manfaat cuka nanas untuk wanita kian populer karena diyakini bagus untuk kulit dan bisa meredakan...
